ESTADO,MUNICÍPIO,REGIONAL,Com qual gênero você se identifica?,Qual é a sua idade?,Qual é o seu grau de escolaridade?,Quantas pessoas vivem na sua casa?,Qual a renda mensal da sua família?,Faixa Renda,Renda Per Capita,Faixa Renda Per Capita,Salário utilizado para pagar a conta,"De 1 a 10, qual nota você dá para o fornecimento de energia sem interrupção, ou seja, não faltar luz na sua casa?","De 1 a 10, que nota você dá para a variação da energia, ou seja, sem ficar alternando luz forte com luz fraca na sua casa?","De 1 a 10, qual nota você atribui para a rapidez na volta da energia quando falta energia na sua casa, ou seja, o tempo que leva para a energia voltar, quando falta?","Alguma vez você recebeu algum aviso da EMPRESA DE ENERGIA, informando que você ficaria sem energia, por causa da realização de serviços para melhorar a rede elétrica?","Caso sim, como você ficou sabendo que a falta de energia aconteceu por causa de um serviço de melhoria da rede elétrica que tinha sido programado pela EMPRESA DE ENERGIA? (Citar os possíveis canais para medir qual o meio de comunicação mais eficaz)","De 1 a 10, como você avalia o aviso recebido?",A EMPRESA DE ENERGIA fornece orientações para evitar o desperdício de energia?,"A EMPRESA DE ENERGIA orienta o cliente sobre a medição do consumo de energia, ou seja, como se faz a leitura do medidor?",A EMPRESA DE ENERGIA informa aos clientes sobre os riscos e perigos da rede elétrica?,A EMPRESA DE ENERGIA esclarece aos clientes sobre seus direitos e deveres?,Você recebe mensalmente sua conta de luz?,Por onde você recebe sua conta de luz?,Dê uma nota de 1 até 10 para o prazo entre o recebimento da conta e o vencimento (pagamento) da conta.,"Dê uma nota de 1 até 10 para a conta de luz sem erros, ou seja, com a leitura do seu consumo correta.",Dê uma nota de 1 até 10 para a facilidade no entendimento das informações que estão na conta de luz.,"Dê uma nota de 1 até 10 para a disponibilidade de locais para pagamento (tais como bancos, internet, correios, rede comercial conveniada tais como supermercados, farmácias dentre outros). ",Dê uma nota de 1 até 10 para a data de vencimento da conta de luz.,Você sabia que é possível alterar a data do vencimento da sua fatura?,Mudar a data do vencimento te ajudaria?,"Você já entrou em contato com a EMPRESA DE ENERGIA, qual o canal de comunicação foi utilizado? (qual canal?)",Qual serviço foi solicitado?,Dê uma nota de 1 até 10 para a facilidade para entrar em contato com a empresa quando quiser pedir informações ou serviços.,"Qual nota você atribui para o tempo de espera de atendimento da EMPRESA DE ENERGIA, seja por telefone, agência EMPRESA DE ENERGIA ou colaborador em campo (eletricista, leiturista etc). (notas de 1 até 10)",Qual nota você atribui a agilidade/rapidez do atendimento ao consumidor (pessoa que o atende por telefone ou na agência da EMPRESA DE ENERGIA)? (nota de 1 até 10),"De 1 a 10, qual nota você atribui para o conhecimento que os colaboradores EMPRESA DE ENERGIA têm sobre o assunto, sobre conseguir responder suas dúvidas.","De 1 a 10, qual nota você atribui para facilidade de entendimento das informações dadas pela EMPRESA DE ENERGIA (as informações são claras e fáceis de entender)?","De 1 a 10, qual nota você atribui para a educação e gentileza da equipe?",Dê uma nota de 1 até 10 para o prazo informado pela empresa para a realização dos serviços solicitados pelo consumidor.,"Dê uma nota de 1 até 10 para solução definitiva do problema, ou seja, resolver o problema de uma vez.",Dê uma nota de 1 até 10 para o cumprimento do prazo informado pela empresa para resolver as solicitações dos consumidores.,A EMPRESA DE ENERGIA respeita os direitos dos consumidores?,A EMPRESA DE ENERGIA é justa com os consumidores?,"A EMPRESA DE ENERGIA investe na melhoria da qualidade do fornecimento de energia, ou seja, investe em melhorias do fornecimento de energia, como por exemplo, faz manutenção em transformadores, em fios, em postes etc?",A EMPRESA DE ENERGIA comunica aos seus consumidores sobre a sua atuação e atividades realizadas? (Nota de 1 até 10),"De 1 a 10, a EMPRESA DE ENERGIA combate o consumo irregular da energia elétrica, por exemplo fraudes como gatos, furto de energia etc?",A EMPRESA DE ENERGIA fornece atendimentos sem discriminação ou imparcialidade?,"A EMPRESA DE ENERGIA está disposta a negociar com seus clientes, como por exemplo em parcelamento de faturas?",A EMPRESA DE ENERGIA cuida do meio ambiente?,"A EMPRESA DE ENERGIA é uma empresa preparada organizada para atender casos de emergência (enchentes, deslizamentos de terra, incêndio, tempestades muito fortes com muito vento)?",SATISFACAO_GERAL,Quanto mais ou menos você paga por mês em sua conta de luz?,"Como você considera o valor da conta de energia de 1 a 5, onde 1 é muito caro, 3 normal e 5 muito barato?",PerCapitaCategoria,Comprometimento (%),UF,Vulneravel_Renda,Vulneravel_Educacao,Pobreza_Energetica,Vulneravel_Multiplo,Faixa_Comprometimento
ALAGOAS,ARAPIRACA,OESTE,Feminino,Acima de 60,Superior completo,3,5000.0,De 4501 a 5000,1666.6666666666667,De 1501 a 2000,De 11 a 20%,7,1,9,Sim,Jornal,7,7,9,8,6,Não,E-mail,9,9,10,9,6,Não,Sim,Agência,Ligação nova de energia,4,3,3,5,1,3,3,4,5,2,1,5,5,1,5,1,5,1,5,310,5.0,Classe B,6.2,AL,False,False,False,0,Baixo (<10%)
ALAGOAS,ARAPIRACA,OESTE,Feminino,51 - 60,Médio completo,2,1800.0,De 1501 a 2000,900.0,De 801 a 900,De 31 a 40%,8,8,10,Não,,,4,10,8,5,Sim,Impressa e entregue pelo leiturista,6,5,2,6,6,Sim,Não,Aplicativo,2ª via de conta,2,1,2,1,5,4,5,4,1,1,3,2,1,2,5,3,2,3,2,313,1.0,Classe C,17.38888888888889,AL,False,False,True,1,Medio (10-20%)
ALAGOAS,ARAPIRACA,OESTE,Masculino,31 - 40,Analfabeto,8,7733.333333333333,Acima de 5000,966.6666666666666,De 901 a 1000,De 41 a 50%,3,3,3,Não,,,5,10,7,9,Não,Impressa e entregue pelo leiturista,6,4,3,8,8,Não,Sim,Aplicativo,Informações gerais,2,5,5,2,3,4,2,5,4,2,6,3,4,4,2,4,2,2,2,459,3.0,Classe C,5.935344827586207,AL,False,True,False,1,Baixo (<10%)
ALAGOAS,ARAPIRACA,OESTE,Masculino,Acima de 60,Médio completo,3,1500.0,De 601 a 1500,500.0,De 401 a 500,De 71 a 80%,5,5,8,Sim,Carro de som,7,7,5,5,8,Não,Impressa e entregue pelo leiturista,1,1,1,10,2,Não,Não,Aplicativo,2ª via de conta,5,1,1,4,3,2,2,4,4,4,6,8,2,4,2,1,4,5,5,386,3.0,Baixa renda,25.733333333333334,AL,True,False,True,2,Alto (>20%)
ALAGOAS,ARAPIRACA,OESTE,Feminino,31 - 40,Fundamental completo,3,2100.0,De 2001 a 2500,700.0,De 601 a 700,De 61 a 70%,5,5,8,Sim,Jornal,5,7,9,6,9,Sim,Impressa e entregue pelo leiturista,7,6,3,8,8,Sim,Não,Telefone 0800,Falta de energia,6,10,5,9,10,10,9,9,7,4,6,6,5,3,5,2,1,2,6,489,2.0,Baixa renda,23.285714285714285,AL,True,False,True,2,Alto (>20%)
ALAGOAS,ARAPIRACA,OESTE,Masculino,31 - 40,Superior completo,1,4000.0,De 3501 a 4000,4000.0,Acima de 2000,Menos que 10%,9,6,10,Sim,Rádio,10,3,5,7,8,Sim,Impressa e entregue pelo leiturista,7,9,8,8,4,Sim,Sim,Telefone 0800,Falta de energia,6,6,10,7,8,9,7,5,10,7,1,2,6,8,10,10,4,10,5,287,5.0,Classe B,7.175,AL,False,False,False,0,Baixo (<10%)
ALAGOAS,ARAPIRACA,OESTE,Masculino,18 - 30,Médio completo,1,2400.0,De 2001 a 2500,2400.0,Acima de 2000,De 11 a 20%,7,7,9,Não,,,9,4,5,3,Não,E-mail,10,9,8,8,10,Sim,Não,Telefone 0800,Falta de energia,7,6,6,8,7,7,9,8,7,7,7,6,8,5,5,3,3,4,6,455,1.0,Classe B,18.958333333333332,AL,False,False,True,1,Medio (10-20%)
ALAGOAS,ARAPIRACA,OESTE,Feminino,31 - 40,Médio completo,5,3666.6666666666665,De 3501 a 4000,733.3333333333333,De 701 a 800,De 61 a 70%,7,7,5,Não,,,9,5,9,6,Não,E-mail,5,5,7,8,8,Sim,Não,Telefone 0800,Falta de energia,7,10,6,7,8,10,10,5,7,4,6,5,7,5,2,6,8,5,6,453,1.0,Baixa renda,12.354545454545455,AL,True,False,True,2,Medio (10-20%)
ALAGOAS,ARAPIRACA,OESTE,Masculino,41 - 50,Superior completo,2,3000.0,De 2501 a 3000,1500.0,De 1001 a 1500,De 21 a 30%,2,2,5,Não,,,4,4,10,9,Não,Impressa e entregue pelo leiturista,7,9,9,9,6,Sim,Não,Telefone 0800,Informações gerais,10,7,10,10,5,6,8,9,10,9,6,3,6,10,2,6,10,7,7,433,4.0,Classe B,14.433333333333334,AL,False,False,True,1,Medio (10-20%)
ALAGOAS,ARAPIRACA,OESTE,Feminino,31 - 40,Médio completo,4,2666.6666666666665,De 2501 a 3000,666.6666666666666,De 601 a 700,De 51 a 60%,7,5,10,Não,,,7,7,5,8,Sim,E-mail,9,9,8,10,4,Não,Não,WhatsApp,Informações gerais,5,3,2,2,9,9,7,4,5,1,6,10,5,2,6,6,9,1,8,379,1.0,Baixa renda,14.2125,AL,True,False,True,2,Medio (10-20%)
